Category: All categories

Week,depression: (France)
2018-01-07,82
2018-01-14,92
2018-01-21,96
2018-01-28,88
2018-02-04,82
2018-02-11,94
2018-02-18,90
2018-02-25,83
2018-03-04,100
2018-03-11,91
2018-03-18,99
2018-03-25,97
2018-04-01,83
2018-04-08,82
2018-04-15,92
2018-04-22,89
2018-04-29,84
2018-05-06,71
2018-05-13,96
2018-05-20,82
2018-05-27,84
2018-06-03,86
2018-06-10,78
2018-06-17,82
2018-06-24,73
2018-07-01,75
2018-07-08,74
2018-07-15,75
2018-07-22,72
2018-07-29,75
2018-08-05,75
2018-08-12,93
2018-08-19,80
2018-08-26,86
2018-09-02,85
2018-09-09,88
2018-09-16,85
2018-09-23,88
2018-09-30,86
2018-10-07,89
2018-10-14,95
2018-10-21,79
2018-10-28,76
2018-11-04,91
2018-11-11,78
2018-11-18,87
2018-11-25,85
2018-12-02,82
2018-12-09,79
2018-12-16,90
2018-12-23,71
2018-12-30,80
